lsl_timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,marker
794633.192328166,-21464.537109375,-12414.5390625,-29679.607421875,-6273.93359375,-31597.455078125,-28239.283203125,-22254.6484375,-12589.4189453125,
794633.1963281659,-21460.201171875,-12411.6552734375,-29678.4453125,-6222.47998046875,-31592.40234375,-28237.16015625,-22249.41796875,-12592.16796875,
794633.2003281659,-21465.54296875,-12417.7802734375,-29685.955078125,-6191.81298828125,-31591.375,-28242.904296875,-22254.939453125,-12594.1123046875,
794633.2043281659,-21471.130859375,-12427.591796875,-29694.11328125,-6238.81884765625,-31599.666015625,-28256.740234375,-22268.23828125,-12595.341796875,
794633.2083281658,-21475.130859375,-12435.4150390625,-29702.427734375,-6288.21630859375,-31609.76953125,-28269.681640625,-22280.0625,-12606.4287109375,
794633.2123281658,-21484.048828125,-12441.517578125,-29707.189453125,-6250.26318359375,-31614.576171875,-28279.896484375,-22289.29296875,-12614.5419921875,
794633.2163281657,-21493.52734375,-12446.5908203125,-29713.044921875,-6213.583984375,-31619.984375,-28288.078125,-22297.408203125,-12626.03125,
794633.2203281657,-21491.91796875,-12448.267578125,-29716.0625,-6254.0849609375,-31621.37109375,-28289.171875,-22298.97265625,-12621.60546875,
794633.2243281656,-21491.11328125,-12442.970703125,-29709.89453125,-6299.77197265625,-31614.77734375,-28280.1875,-22293.7421875,-12622.6337890625,
794633.2283281656,-21488.2734375,-12440.8466796875,-29709.201171875,-6267.6748046875,-31612.921875,-28279.29296875,-22291.505859375,-12627.23828125,
794633.226947083,-21488.9453125,-12442.478515625,-29710.765625,-6217.20458984375,-31613.32421875,-28284.45703125,-22292.712890625,-12635.6865234375,
794633.230947083,-21495.494140625,-12449.67578125,-29715.951171875,-6246.59716796875,-31619.806640625,-28292.66015625,-22299.26171875,-12643.30859375,
794633.2349470829,-21483.201171875,-12445.49609375,-29711.615234375,-6304.95751953125,-31616.744140625,-28285.73046875,-22294.099609375,-12620.3310546875,
794633.2389470829,-21478.953125,-12443.4169921875,-29713.224609375,-6283.79052734375,-31616.162109375,-28283.115234375,-22290.166015625,-12614.6767578125,
794633.2429470829,-21483.8046875,-12452.8271484375,-29726.904296875,-6236.740234375,-31629.103515625,-28292.927734375,-22296.78125,-12627.1484375,
794633.2469470828,-21470.548828125,-12438.7236328125,-29711.79296875,-6248.966796875,-31617.123046875,-28277.05859375,-22282.677734375,-12612.4189453125,
794633.2509470828,-21464.939453125,-12435.392578125,-29708.93359375,-6297.6708984375,-31612.318359375,-28268.564453125,-22277.357421875,-12605.400390625,
794633.2549470827,-21473.58984375,-12440.6455078125,-29712.93359375,-6289.53515625,-31609.994140625,-28268.384765625,-22279.525390625,-12615.525390625,
794633.2589470827,-21468.447265625,-12432.5986328125,-29704.193359375,-6218.3447265625,-31594.99609375,-28257.052734375,-22268.685546875,-12610.7646484375,
